Recipient_ID,Email_Version,Click_Through_Rate
1,A,0
2,B,0
3,A,0
4,A,0
5,A,0
6,A,0
7,A,0
8,B,0
9,B,1
10,A,0
11,B,0
12,B,0
13,A,1
14,B,0
15,A,0
16,B,0
17,A,0
18,B,1
19,B,0
20,A,0
21,A,0
22,A,0
23,B,1
24,B,0
25,B,0
26,A,0
27,B,0
28,A,0
29,A,0
30,A,0
31,A,0
32,B,1
33,B,0
34,B,0
35,A,0
36,A,0
37,B,0
38,A,0
39,A,0
40,B,0
41,A,0
42,B,0
43,A,0
44,B,0
45,B,0
46,B,0
47,A,0
48,A,0
49,A,0
50,A,0
51,B,0
52,B,0
53,A,0
54,A,0
55,B,0
56,A,0
57,B,0
58,A,0
59,A,0
60,B,0
61,A,0
62,B,0
63,A,0
64,B,0
65,A,0
66,A,0
67,A,0
68,A,0
69,B,0
70,A,0
71,A,0
72,B,0
73,B,0
74,B,1
75,B,0
76,A,0
77,A,0
78,A,0
79,A,0
80,B,1
81,B,0
82,A,0
83,A,0
84,A,0
85,A,0
86,B,0
87,A,0
88,B,0
89,B,0
90,A,0
91,B,0
92,B,0
93,B,0
94,A,0
95,B,0
96,B,0
97,B,0
98,A,0
99,A,0
100,A,0
101,B,0
102,A,0
103,A,1
104,B,0
105,B,0
106,B,0
107,A,0
108,B,0
109,B,0
110,A,0
111,A,0
112,B,0
113,B,0
114,A,1
115,B,0
116,B,0
117,B,0
118,B,1
119,B,1
120,B,0
121,B,1
122,A,0
123,B,0
124,B,1
125,B,0
126,B,0
127,A,0
128,A,0
129,A,0
130,B,0
131,B,0
132,A,0
133,A,0
134,B,1
135,B,0
136,A,0
137,A,0
138,A,1
139,B,0
140,A,0
141,B,0
142,B,1
143,A,1
144,A,0
145,B,0
146,A,0
147,B,0
148,B,0
149,B,0
150,B,0
151,A,0
152,B,0
153,A,0
154,B,1
155,A,0
156,A,0
157,B,0
158,B,0
159,A,0
160,B,0
161,B,0
162,B,1
163,A,0
164,B,0
165,B,0
166,B,1
167,B,0
168,A,0
169,A,0
170,B,0
171,B,0
172,A,0
173,A,1
174,B,0
175,A,0
176,A,0
177,A,0
178,B,0
179,A,0
180,B,0
181,B,0
182,A,0
183,A,0
184,A,0
185,B,0
186,A,1
187,A,1
188,B,0
189,A,0
190,A,0
191,B,0
192,A,0
193,A,0
194,B,0
195,A,0
196,A,0
197,A,1
198,A,0
199,B,0
200,A,0
201,B,1
202,B,0
203,A,0
204,A,0
205,A,0
206,B,0
207,A,0
208,A,1
209,A,0
210,B,0
211,A,0
212,A,0
213,A,0
214,B,0
215,A,0
216,B,0
217,B,0
218,B,0
219,B,0
220,A,0
221,B,0
222,B,0
223,B,0
224,B,0
225,A,0
226,A,0
227,B,0
228,B,1
229,B,0
230,B,0
231,B,0
232,A,0
233,A,0
234,B,0
235,B,0
236,B,0
237,A,0
238,B,0
239,A,0
240,A,0
241,A,0
242,B,0
243,B,0
244,B,0
245,A,0
246,B,0
247,A,0
248,A,1
249,B,1
250,B,0
251,B,0
252,A,0
253,B,0
254,B,0
255,A,0
256,A,0
257,A,0
258,B,0
259,A,0
260,B,0
261,B,0
262,A,0
263,A,0
264,B,1
265,B,0
266,B,0
267,B,0
268,B,1
269,A,0
270,B,0
271,B,1
272,B,0
273,A,0
274,B,0
275,B,0
276,A,0
277,A,0
278,A,0
279,B,1
280,B,0
281,A,0
282,A,0
283,B,0
284,A,0
285,A,0
286,A,1
287,B,1
288,A,0
289,B,0
290,B,0
291,B,0
292,A,0
293,B,0
294,B,0
295,B,0
296,A,0
297,A,0
298,A,0
299,A,0
300,B,0
301,A,0
302,B,0
303,B,0
304,B,0
305,B,1
306,A,0
307,B,0
308,B,1
309,B,0
310,B,0
311,B,0
312,B,0
313,A,0
314,A,1
315,B,0
316,A,0
317,A,0
318,B,0
319,A,0
320,B,0
321,B,0
322,B,0
323,B,0
324,B,1
325,B,0
326,A,0
327,B,0
328,B,0
329,B,0
330,A,1
331,A,0
332,A,1
333,B,0
334,B,0
335,A,0
336,B,0
337,A,0
338,A,0
339,B,1
340,A,0
341,B,0
342,B,0
343,A,0
344,A,0
345,A,1
346,A,0
347,B,0
348,B,0
349,B,0
350,B,0
351,B,0
352,A,0
353,B,0
354,A,0
355,B,1
356,B,0
357,B,0
358,A,0
359,A,0
360,B,0
361,A,0
362,A,1
363,B,0
364,A,0
365,A,0
366,A,0
367,A,0
368,A,0
369,B,0
370,B,0
371,A,0
372,B,0
373,A,0
374,A,0
375,A,0
376,B,0
377,B,0
378,A,0
379,B,0
380,A,0
381,B,0
382,A,0
383,B,0
384,B,0
385,A,0
386,A,0
387,A,1
388,B,0
389,A,0
390,B,0
391,B,0
392,A,0
393,A,0
394,B,0
395,A,0
396,A,0
397,B,0
398,B,0
399,A,0
400,A,0
401,B,0
402,B,0
403,A,0
404,B,0
405,A,1
406,B,0
407,B,0
408,B,1
409,A,0
410,B,0
411,B,0
412,B,0
413,B,0
414,B,0
415,A,0
416,A,0
417,B,0
418,B,0
419,B,0
420,B,0
421,B,0
422,B,0
423,B,0
424,B,0
425,B,0
426,B,0
427,B,0
428,B,0
429,B,1
430,A,0
431,A,0
432,B,0
433,B,0
434,B,0
435,A,0
436,A,0
437,B,0
438,A,0
439,A,0
440,A,0
441,A,0
442,B,0
443,A,0
444,A,0
445,A,0
446,A,0
447,B,0
448,A,0
449,B,0
450,A,0
451,B,0
452,A,0
453,A,0
454,A,0
455,A,1
456,B,0
457,B,0
458,A,0
459,B,0
460,A,0
461,B,0
462,A,0
463,B,0
464,B,0
465,B,0
466,A,0
467,B,0
468,A,0
469,A,0
470,A,0
471,A,0
472,B,0
473,B,0
474,B,0
475,A,0
476,A,0
477,A,0
478,B,0
479,B,0
480,B,0
481,A,0
482,A,0
483,A,0
484,A,0
485,B,0
486,A,0
487,B,0
488,B,0
489,A,1
490,B,0
491,A,0
492,A,0
493,B,0
494,A,0
495,A,0
496,A,0
497,B,0
498,A,0
499,A,0
500,A,0
501,A,0
502,A,0
503,B,0
504,B,0
505,A,0
506,A,0
507,B,0
508,B,0
509,B,0
510,B,0
511,B,0
512,B,0
513,A,0
514,A,0
515,B,0
516,A,1
517,B,0
518,B,0
519,A,0
520,B,0
521,A,0
522,B,1
523,A,0
524,A,0
525,B,0
526,B,1
527,B,0
528,A,0
529,A,0
530,B,1
531,B,0
532,B,0
533,A,0
534,A,0
535,B,0
536,B,0
537,B,0
538,B,0
539,B,1
540,A,0
541,B,0
542,A,0
543,A,0
544,A,0
545,B,0
546,A,0
547,B,1
548,B,1
549,B,0
550,A,0
551,A,0
552,A,0
553,B,0
554,A,0
555,B,0
556,B,0
557,A,0
558,B,0
559,A,0
560,A,0
561,A,0
562,A,1
563,A,0
564,A,0
565,B,0
566,B,0
567,A,1
568,B,0
569,B,0
570,B,0
571,B,0
572,B,0
573,A,0
574,A,1
575,B,0
576,A,1
577,A,0
578,B,0
579,B,1
580,A,1
581,A,0
582,B,0
583,B,0
584,B,0
585,B,0
586,B,0
587,A,0
588,A,1
589,A,0
590,B,0
591,B,0
592,B,0
593,B,0
594,B,0
595,B,0
596,B,0
597,A,0
598,A,0
599,A,0
600,B,0
601,B,0
602,B,0
603,B,0
604,A,0
605,A,0
606,A,0
607,B,0
608,B,0
609,A,0
610,B,0
611,B,0
612,A,1
613,A,0
614,B,0
615,B,0
616,B,1
617,B,0
618,B,0
619,A,0
620,A,0
621,B,0
622,A,0
623,A,0
624,A,0
625,B,0
626,B,0
627,B,0
628,A,0
629,B,0
630,B,0
631,A,0
632,A,0
633,A,0
634,A,0
635,A,0
636,A,0
637,B,1
638,A,0
639,B,1
640,B,1
641,B,0
642,B,1
643,A,1
644,B,0
645,B,0
646,A,1
647,B,0
648,A,0
649,A,0
650,B,1
651,A,0
652,A,0
653,A,0
654,A,0
655,A,0
656,B,1
657,B,0
658,A,0
659,B,0
660,A,1
661,B,0
662,B,1
663,B,0
664,B,0
665,B,0
666,A,0
667,A,0
668,B,0
669,A,0
670,A,0
671,B,0
672,A,0
673,A,0
674,B,0
675,B,0
676,B,0
677,A,0
678,A,1
679,B,0
680,A,0
681,B,0
682,A,0
683,A,0
684,A,0
685,B,0
686,B,0
687,B,0
688,B,0
689,A,0
690,B,0
691,A,0
692,B,0
693,A,0
694,A,1
695,A,0
696,B,0
697,A,0
698,B,1
699,B,1
700,B,0
701,A,0
702,A,0
703,B,1
704,A,0
705,B,0
706,A,0
707,B,0
708,B,0
709,B,0
710,B,1
711,A,0
712,B,1
713,A,0
714,A,0
715,A,1
716,B,0
717,A,0
718,B,0
719,A,0
720,B,0
721,B,1
722,A,0
723,A,0
724,B,0
725,A,0
726,A,0
727,B,0
728,B,0
729,B,1
730,B,0
731,B,0
732,A,0
733,A,0
734,B,1
735,B,1
736,B,1
737,A,0
738,B,0
739,A,0
740,B,0
741,B,0
742,A,0
743,A,0
744,A,0
745,A,0
746,A,0
747,B,1
748,A,0
749,A,0
750,B,0
751,A,0
752,A,0
753,A,0
754,A,0
755,B,0
756,B,0
757,B,0
758,B,0
759,A,1
760,A,0
761,A,0
762,B,0
763,B,0
764,A,0
765,B,0
766,A,0
767,A,1
768,A,0
769,A,0
770,B,1
771,A,0
772,A,0
773,A,0
774,A,0
775,A,0
776,B,1
777,B,0
778,A,0
779,A,1
780,A,1
781,A,0
782,B,0
783,B,0
784,A,0
785,B,0
786,A,0
787,A,0
788,A,0
789,B,0
790,A,0
791,B,1
792,A,1
793,B,1
794,A,0
795,A,0
796,B,0
797,B,1
798,A,0
799,B,0
800,A,0
801,A,0
802,A,0
803,A,0
804,A,0
805,A,0
806,B,0
807,B,0
808,A,1
809,B,0
810,B,0
811,A,0
812,B,0
813,B,0
814,A,0
815,B,0
816,A,0
817,B,0
818,B,0
819,B,0
820,A,1
821,B,0
822,A,0
823,B,0
824,B,0
825,A,0
826,A,0
827,B,0
828,A,0
829,B,1
830,B,0
831,B,0
832,B,0
833,B,0
834,B,0
835,A,1
836,A,0
837,A,0
838,A,0
839,B,0
840,B,1
841,A,0
842,B,0
843,B,0
844,B,0
845,B,0
846,A,0
847,B,1
848,B,0
849,B,0
850,B,0
851,A,1
852,B,0
853,B,0
854,B,0
855,A,1
856,A,0
857,B,0
858,A,0
859,A,0
860,A,0
861,B,0
862,B,1
863,B,1
864,B,0
865,B,0
866,A,1
867,A,0
868,A,0
869,A,0
870,B,0
871,A,1
872,A,0
873,A,0
874,B,1
875,B,0
876,A,0
877,A,0
878,B,0
879,B,1
880,B,0
881,B,1
882,A,0
883,B,0
884,B,0
885,A,0
886,B,0
887,B,0
888,A,0
889,B,0
890,B,0
891,B,0
892,B,1
893,A,1
894,A,0
895,B,1
896,B,0
897,A,0
898,A,1
899,A,0
900,A,0
901,B,1
902,B,1
903,B,0
904,B,1
905,A,0
906,A,1
907,B,0
908,B,0
909,A,0
910,A,0
911,A,0
912,B,0
913,A,1
914,A,0
915,B,0
916,B,0
917,B,0
918,B,0
919,A,0
920,A,0
921,A,0
922,B,0
923,A,0
924,A,0
925,A,0
926,A,0
927,B,0
928,B,1
929,B,0
930,A,0
931,B,0
932,A,0
933,B,0
934,A,0
935,A,0
936,B,1
937,B,0
938,B,1
939,A,0
940,B,0
941,A,0
942,A,0
943,B,0
944,B,0
945,B,0
946,B,0
947,A,0
948,B,0
949,B,0
950,B,1
951,B,0
952,B,0
953,A,0
954,A,0
955,A,0
956,A,1
957,A,0
958,A,1
959,B,0
960,A,0
961,B,0
962,A,0
963,B,0
964,A,0
965,B,0
966,B,0
967,B,0
968,B,0
969,B,0
970,A,1
971,B,0
972,A,1
973,B,0
974,A,0
975,B,0
976,A,0
977,A,0
978,A,1
979,B,0
980,A,0
981,A,0
982,A,0
983,A,0
984,A,0
985,B,0
986,A,0
987,B,0
988,B,0
989,B,1
990,B,0
991,B,0
992,B,0
993,B,0
994,A,0
995,B,0
996,A,0
997,B,0
998,B,0
999,A,1
1000,B,0
